2459759.629,17.500304000,2.568907000
2459759.637,17.500039000,2.566112000
2459759.638,17.499972000,2.565609000
2459768.624,17.185387,-0.766799
2459768.626,17.185312000,-0.767587000
2459768.629,17.185230000,-0.768497000
2459772.673,17.046643000,-2.389433000
2459772.680,17.046397,-2.392305
2459772.687,17.046156000,-2.395193000
2459776.589,16.916437000,-4.007733000
2459776.596,16.916221000,-4.010402000
2459783.662,16.695317,-6.9989
2459783.669,16.695114000,-7.001678000
2459783.673,16.694997000,-7.003309000
2459783.677,16.694892000,-7.004832000
2459783.680,16.69478,-7.006338
2459787.661,16.58043,-8.701822
2459787.680,16.579879,-8.71024
2459787.696,16.579426,-8.716937
